,,T1,T2,T3,T4,T5,E,STD
0,MSE-train,935.5002910695131,958.8446578443748,968.0667290567415,982.1543114363487,1003.9845299573333,969.7101038728622,22.89394887531389
1,RMSE-train,30.58594924257727,30.965216902911802,31.11377073028503,31.339341273172106,31.685714919460683,31.13799861368138,0.36762237042761586
2,R^2-train,0.22225115710269883,0.2450091335542397,0.23277435830378124,0.2282848045152729,0.22282310007038608,0.23022851070927572,0.008333119736606102
3,MSE-test,1131.7631555955757,998.5833412189505,975.1323345008171,923.5683482769753,838.4250365583426,973.4944432301323,96.35090075330308
4,RMSE-test,33.64168776377867,31.600369320926465,31.227108968023554,30.390267328159112,28.95557004374707,31.163000684926978,1.5368251499025938
5,R^2-test,0.23922583724768454,0.18084942783408464,0.22110382694517783,0.23570655951302766,0.2592057855205202,0.22721828741209898,0.02617972428012518
6,f0,0.17325643175121097,0.7156137908238953,0.6378004243165369,0.5715147890596404,0.8530310942248075,0.5902433060352182,0.2285894443101862
7,f1,-4.479085203402726,-5.372110174024309,-5.135561838312317,-5.879359799607643,-5.734453086875591,-5.3201140204445165,0.4956864497833909
8,f2,0.7594088604598148,1.8361958422776328,1.3962633599048604,1.6615025645139634,1.6575307669178827,1.4621802788148308,0.3784208068132959
9,f3,-0.2698374386629624,-0.32832944224425803,0.028820552848545643,0.11811889146043054,-0.36324693538624,-0.16289487439689684,0.19731690159666584
10,f4,1.5344771821032528,3.271945255980247,2.686644651257559,3.151643574446351,2.668539518330641,2.6626500364236105,0.6137979735329977
11,f5,1.6522999186456202,0.6130468948640845,1.6133995559249463,2.454347277276905,1.7139807976536965,1.6094148888730504,0.5864211716997475
12,f6,7.745277536014065,10.901270590006924,9.514145992907533,10.23068159684238,10.107781200394868,9.699831383233155,1.07204859741
13,f7,7.227046748330713,11.408224512690442,9.38912804316013,10.58278457552448,10.220180108286286,9.76547279759841,1.4253864500521607
14,f8,11.981873446733584,12.744223067268173,12.1302276480986,11.326920790509721,12.669446667635913,12.170538324049199,0.5151569953569497
15,f9,0.5824780528524692,1.9871457690888985,1.867881521129375,1.9429423556423786,1.8490400125754907,1.6458975422577224,0.5340581867256736
16,f10,-1.5660392858675023,-2.29874615894965,-1.958522233609053,-1.7069522271566095,-1.4740933035075647,-1.8008706418180758,0.2978200524265186
17,f11,5.078361105398984,7.5687368318246735,6.968683714678273,6.614925454722501,6.875916845743128,6.621324790473511,0.8323271950242996
18,f12,4.153868363954478,6.824710554514638,6.111904299305314,5.821296918717913,5.704236146579867,5.7232032566144415,0.8760366374809168
19,f13,13.61353664807525,15.927661522906257,14.745238959997572,12.377028601589807,15.189142404123523,14.370521627338482,1.2475799303040165
20,f14,-0.07153778070341041,-0.16731606817359002,-0.18384964213539187,-0.04873843578574494,0.16238725050780953,-0.06181093525806554,0.12373771237039558
21,f15,0.13262452222025684,-1.6210331536571878,-1.2888629722251101,-0.9181427506257733,-1.9351194416063906,-1.1261067591788412,0.7146463053554806
22,f16,12.57050675186392,16.9220718297865,13.798927955379092,16.339404589807124,14.91365495741562,14.90891321685045,1.5999592325568857
23,f17,6.963329094571002,12.33801986435627,9.540847271025978,13.134910118230883,11.749448963851707,10.745311062407167,2.2364846760174077
24,f18,9.801562822052087,11.17426325104399,9.94267063486612,10.080271574126119,8.692339662960826,9.93822158900983,0.7897967301536168
25,f19,1.7821402361161716,3.781684633528628,3.140074948104349,3.6544592807571012,2.987862667643335,3.0692443532299167,0.7096935429610568
26,f20,-3.0378734365592184,-3.875633111351429,-2.725280094240007,-3.2294493546028065,-3.2669069843004137,-3.2270285962107748,0.3767798287120422
27,f21,8.34806862144181,11.974916649110416,10.389323718871658,10.878183099204556,10.88532175193176,10.49516276811204,1.1924609288379124
28,f22,8.066079896887516,12.659732734175233,10.319296450063664,11.504695850872842,11.247227778505623,10.759406542100976,1.539634415026524
29,f23,9.47017827646412,9.894404717766225,9.609455565475264,7.9595014400060915,9.831452301046621,9.352998460151664,0.7132144298915876
30,f24,0.7607925695995625,1.0155583221503568,1.1424653657077866,0.1140180937355209,0.9070934409817821,0.7879855584350018,0.35961189812052197
31,f25,-2.625784061781434,-3.5567757519402727,-2.6017803676876294,-1.9275002549386058,-2.4764073404327296,-2.637649555356134,0.5246963759291472
32,f26,1.4691993464430897,2.7311560997866757,2.7398726422399635,2.024271611687528,2.636980412726676,2.3202960225767866,0.5014250790986947
33,f27,-0.20779866125599006,0.5945978180810578,0.6150524558825784,-0.28766415237268755,0.5332367587431952,0.2494848438156308,0.40765059581470614
34,f28,10.900559798171907,13.474605576268702,12.12402668522926,11.503009789379496,12.3988916195911,12.080218693728092,0.8686255327956834
35,f29,30.196469948381317,29.99934956754195,30.074143312784294,29.416990267074194,29.34106154564666,29.805602928285687,0.3547526525246152
36,f30,55.762023064242655,58.79134863193105,58.14985858229763,56.975087091152005,56.2767307637601,57.19100962667669,1.1318133439374527
37,f31,-11.818172421360762,-13.809984319195658,-13.1495409711533,-13.10920007651944,-12.904470096843937,-12.95827357701462,0.646142193679022
38,f32,32.950098405969,33.45239549591812,32.98941908310364,32.63023472391822,32.5644840953303,32.91732636084785,0.3160663282221025
39,f33,36.86950078503862,39.28791730891386,38.61554995028657,38.15596043414204,37.445786407993594,38.074942977274944,0.8507708650740554
40,f34,-23.157920722664574,-23.46487072598221,-23.819257881258853,-23.361347675789307,-23.80873735159957,-23.5224268714589,0.2577620177938595
41,f35,-0.09377121124111104,-0.2671583223580908,0.23906296478992278,0.30995108178702646,0.32068542068539757,0.101753986732629,0.23851924595644716
42,f36,3.155079122538053,2.941893416651789,2.8628779240146867,3.079629747130575,2.9576334361611267,2.999422729299246,0.10427130875785527
43,f37,0.13351966977209107,0.10234922804415528,0.026351118475259415,0.09244454501946738,0.1337827994132974,0.0976894721448541,0.03930627081063192
44,f38,4.0071999511980545,3.74758778936845,4.320117213977862,4.177320311453807,4.411768651302352,4.132798783460105,0.23624441778172126
45,f39,-1.0288628121274153,-1.5064476711889914,-1.479138645084339,-0.943457921315317,-1.1233658736496708,-1.2162545846731465,0.2330159072992515
46,f40,-1.5577473225485776,-0.9109934144347546,-1.6434743458477155,-1.1122676550160024,-1.4533424655568692,-1.335565040680784,0.2786278581379573
47,f41,-0.9794016703053521,-0.7891416011850084,-1.323912626692327,-0.8763316202029037,-1.4579182850400145,-1.085341160685121,0.26014319159569127
48,f42,0.2302163932096804,0.417654223255174,-0.03694715251432251,-0.2236273739492428,0.1123993419159214,0.0999390863834421,0.2197741747754065
49,f43,-0.3023631270365821,-0.6358069107308387,-0.08341516898079603,-0.36832832766282697,-0.34559358547481434,-0.34710142397717164,0.17625871291136735
50,f44,-0.07919739625722005,-0.7506717964812389,-0.2726702644088354,-0.44194729982415293,-0.01721371652998292,-0.312340094700286,0.26531547288870805
51,f45,-1.676080214786067,-1.4930813038068103,-1.4784484324003895,-1.8353056988086076,-1.2888889981029137,-1.5543609295809575,0.18640750731293673
52,f46,-0.9696853340070887,-0.8834790404891032,-1.4122927113048735,-0.9805402990693306,-1.3371465177887896,-1.1166287805318371,0.21471678320542445
53,f47,0.12393725101337973,0.3104557370591435,-0.14420818303099336,0.3016875540837564,-0.16167176221171553,0.08604011938271414,0.20624152597549913
54,f48,-0.3586107805459334,-1.0964605766661126,-0.9823351701387137,-1.2528360447202493,-0.9828315434311963,-0.934614823100441,0.3045789009489941
55,f49,-0.11041757048405668,-0.23426497463506588,0.2130946948180578,-0.5233123899097005,0.09498515103197742,-0.11198301783575756,0.2579374040745246
56,f50,-0.9659469859710884,-1.48109517609306,-0.8892774658406014,-1.023032744891069,-0.7528537110802798,-1.0224412167752197,0.2465625317064171
57,f51,-0.9630090520969081,-1.4616085138797414,-1.229531875169012,-1.02885586047402,-1.0436977161390637,-1.145340603551749,0.18125028436235263
58,f52,-1.7966298052059957,-1.3428989330841221,-1.7494819174942944,-1.4298282913771676,-1.5742998729033317,-1.5786277640129822,0.175752170487523
59,f53,-5.665966294593573,-6.504179819023451,-6.749775780706711,-6.224268139077495,-6.325165224081424,-6.293871051496531,0.3611556933543339
